Область; Адміністративний район(старий); Адміністративний район(новий); Найменування ОТГ(довідково); Населений пункт; Індекс НП; Назва вулиці;;
Вінницька;;Вінницький;Вінницька;м. Вінниця;21010;пров. Петрусенко;49.2408521;28.4630645
Вінницька;;Вінницький;Вінницька;м. Вінниця;21010;тупик Петрусенко;49.2427596;28.4634906
Вінницька;;Вінницький;Вінницька;м. Вінниця;21010;пров. 1-й Олександра Лотоцького;49.2425767;28.459326
Вінницька;;Вінницький;Вінницька;м. Вінниця;21010;пров. 2-й Олександра Лотоцького;49.2425767;28.459326
Вінницька;;Вінницький;Вінницька;м. Вінниця;21010;пров. 3-й Олександра Лотоцького;49.2414279;28.4605846
Вінницька;Крижопільський;Тульчинський;Крижопільська;смт Крижопіль;24600;пров. Трублаїні;48.38568;28.86941
Вінницька;;Вінницький;Вінницька;м. Вінниця;21010;проїзд Ботанічний;49.2490453;28.459507
Вінницька;Липовецький;Вінницький;Турбівська;с. Сиваківці;22514;пров. Ясний;49.32827;28.66402
Вінницька;Липовецький;Вінницький;Турбівська;с. Сиваківці;22514;пров. Шевченка;49.32827;28.66402
Вінницька;;Вінницький;Вінницька;м. Вінниця;21010;вул. Яна Засідателя;49.2470945;28.4615904
Вінницька;Липовецький;Вінницький;Турбівська;с. Сиваківці;22514;вул. Озерна;49.32827;28.66402
Вінницька;Липовецький;Вінницький;Турбівська;с. Сиваківці;22514;вул. Новоселів;49.32827;28.66402
Вінницька;Липовецький;Вінницький;Турбівська;с. Сиваківці;22514;вул. Квітнева;49.32827;28.66402
Вінницька;;Вінницький;Вінницька;м. Вінниця;21010;пров. Яна Засідателя;49.2456209;28.4613503
Вінницька;Липовецький;Вінницький;Турбівська;с. Сиваківці;22514;пров. Зелений;49.32827;28.66402
Вінницька;Липовецький;Вінницький;Турбівська;с. Сиваківці;22514;вул. Вінницька;49.32827;28.66402
Вінницька;Липовецький;Вінницький;Турбівська;с. Сиваківці;22514;вул. Центральна;49.32827;28.66402
Вінницька;;Вінницький;Вінницька;м. Вінниця;21010;пров. 2-й Ботанічний;49.2521495;28.456848
Вінницька;;Вінницький;Вінницька;м. Вінниця;21010;пров. 1-й Руданського;49.2497284;28.461074
Вінницька;;Вінницький;Вінницька;м. Вінниця;21010;пров. 3-й Руданського;49.2530522;28.4544488
Вінницька;;Вінницький;Вінницька;м. Вінниця;21010;пров. 4-й Руданського;49.2537412;28.454923
Вінницька;;Вінницький;Вінницька;м. Вінниця;21010;пров. 1-й Ботанічний;49.2524416;28.4524089
Вінницька;;Вінницький;Вінницька;м. Вінниця;21008;пров. 3-й Корольова;49.2180104;28.3906783
Вінницька;Крижопільський;Тульчинський;Крижопільська;смт Крижопіль;24600;вул. 1-го Травня;48.38568;28.86941
Вінницька;Крижопільський;Тульчинський;Крижопільська;смт Крижопіль;24600;вул. Сміщука;48.38568;28.86941
Вінницька;Бершадський;Гайсинський;Бершадська;м. Бершадь;24400;пров. Робітничий;48.36594;29.51889
Вінницька;;Вінницький;Вінницька;м. Вінниця;21011;вул. Левка Лук'яненка;49.2559703;28.5504322
Вінницька;;Вінницький;Вінницька;м. Вінниця;21011;вул. Джозефа Конрада;49.2538731;28.5398122
Вінницька;Бершадський;Гайсинський;Бершадська;м. Бершадь;24400;пров. Терешкової;48.36594;29.51889
Вінницька;Бершадський;Гайсинський;Бершадська;м. Бершадь;24400;пров. Івана Мазепи;48.36594;29.51889
Вінницька;Бершадський;Гайсинський;Бершадська;м. Бершадь;24400;пров. Українського козацтва;48.36594;29.51889
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;вул. Кожедуба;49.2249708;28.4981289
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;вул. Анатолія Черниша;49.2251986;28.4962906
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;вул. Кривоноса;49.2204402;28.4987697
Вінницька;Бершадський;Гайсинський;Джулинська;с. Берізки-Бершадські;24451;вул. Танкістів;48.41297;29.72626
Вінницька;Чечельницький;Гайсинський;Ольгопільська;с. Берізки-Чечельницькі;24834;вул. Подільська;48.14724;29.63356
Вінницька;Бершадський;Гайсинський;Джулинська;с. Берізки-Бершадські;24451;вул. Бугова;48.41297;29.72626
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;вул. Леонтовича;49.2229347;28.4978406
Вінницька;Бершадський;Гайсинський;Джулинська;с. Берізки-Бершадські;24451;вул. Механіка;48.41297;29.72626
Вінницька;Бершадський;Гайсинський;Джулинська;с. Берізки-Бершадські;24451;вул. Весняна;48.41297;29.72626
Вінницька;Бершадський;Гайсинський;Джулинська;с. Берізки-Бершадські;24451;вул. Річна;48.41297;29.72626
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;пров. 4-й Маріупольський;49.2163708;28.4877375
Вінницька;Бершадський;Гайсинський;Джулинська;с. Берізки-Бершадські;24451;вул. Перемоги;48.41297;29.72626
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;пров. 3-й Маріупольський;49.2172535;28.4868831
Вінницька;Чечельницький;Гайсинський;Ольгопільська;с. Берізки-Чечельницькі;24834;вул. Комарова;48.14724;29.63356
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;пров. 5-й Маріупольський;49.217546;28.4887716
Вінницька;Бершадський;Гайсинський;Джулинська;с. Берізки-Бершадські;24451;вул. Садова;48.41297;29.72626
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;вул. Гната Танцюри;49.2251986;28.4962906
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;вул. Нечая Данила;49.2087655;28.4946207
Вінницька;Чечельницький;Гайсинський;Ольгопільська;с. Берізки-Чечельницькі;24834;вул. Молодіжна;48.14724;29.63356
Вінницька;Чечельницький;Гайсинський;Ольгопільська;с. Берізки-Чечельницькі;24834;вул. Миру;48.14724;29.63356
Вінницька;Чечельницький;Гайсинський;Ольгопільська;с. Берізки-Чечельницькі;24834;вул. Шевченка;48.14724;29.63356
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;вул. Марії Приймаченко;49.2320162;28.467975
Вінницька;Чечельницький;Гайсинський;Ольгопільська;с. Берізки-Чечельницькі;24834;вул. Гагаріна;48.14724;29.63356
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;пров. Марії Приймаченко;49.2320162;28.467975
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;вул. Пластова;49.2181973;28.4881755
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;пров. Пластовий;49.2195137;28.4861963
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;тупик Пластовий;49.2200322;28.4845481
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;пров. Костя Широцького;49.2165886;28.4950438
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;вул. Олекси Довбуша;49.2244248;28.4900279
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;пров. Дубовецький;49.2283986;28.4941652
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;вул. Ігоря Сікорського;49.2288431;28.492908
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;вул. Петра Ніщинського;49.2256547;28.4886203
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;пров. 1-й Нечая Данила;49.223676;28.4882716
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;пров. 2-й Нечая Данила;49.223676;28.4882716
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;пров. Овражний;49.2320162;28.467975
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;пров. 3-й Нечая Данила;49.2221612;28.4893675
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;вул. Дубовецька;49.2298064;28.4869695
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;пров. 3-й Дубовецький;49.2284266;28.4912585
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;пров. 2-й Дубовецький;49.2290028;28.4906075
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;проїзд Дубовецький;49.2277952;28.4972524
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;вул. Бернарда Претвича;49.2270836;28.4867756
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;пров. Бернарда Претвича;49.2252594;28.4857574
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;вул. Паліїв Яр;49.2257435;28.4829176
Вінницька;;Вінницький;Вінницька;м. Вінниця;21001;вул. Євгена Коновальця;49.2300877;28.4869471
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;вул. Євгена Коновальця;49.2300877;28.4869471
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;вул. 20-го Березня;49.2320162;28.467975
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;вул. Ігоря Костецького;49.2264586;28.4853626
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;пров. 1-й Ігоря Костецького;49.224215;28.4875958
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;пров. 2-й Ігоря Костецького;49.224215;28.4875958
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;вул. Генерала Безручка;49.2106332;28.4991818
Вінницька;Могилів-Подільський;Могилів-Подільський;Яришівська;с. Яришів;24024;вул. 1-го Травня;48.512192;27.63199
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;пров. Гулака-Артемовського;49.2132459;28.5028143
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;пров. Генерала Безручка;49.2106332;28.4991818
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;проїзд Генерала Безручка;49.2105352;28.5003966
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;вул. Братів Котенків;49.216901;28.5038165
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;пров. 1-й Тетяни Яблонської;49.2103095;28.5016223
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;пров. 2-й Тетяни Яблонської;49.2103095;28.5016223
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;вул. Тетяни Яблонської;49.2102508;28.502673
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;вул. Софії Русової;49.209197;28.4984157
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;вул. Новоселівська;49.2114112;28.5050382
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;пров. 1-й Одеський;49.2104646;28.5035666
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;пров. 2-й Одеський;49.2099528;28.5049641
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;вул. Степова;49.2143954;28.4918046
Вінницька;;Вінницький;Вінницька;м. Вінниця;21011;вул. Степова;49.2143954;28.4918046
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;вул. Федорова Івана;49.2081782;28.5027255
Вінницька;Могилів-Подільський;Могилів-Подільський;Вендичанська;смт Вендичани;24032;пров. 1-й Дубініна;48.6100326;27.7851029
Вінницька;Липовецький;Вінницький;Турбівська;с. Біла;22520;вул. Коцюбинського;49.7660265;30.1367929
Вінницька;Липовецький;Вінницький;Турбівська;с. Біла;22520;вул. Кириченко;49.04091;25.76294
Вінницька;Липовецький;Вінницький;Турбівська;с. Біла;22520;вул. Миру;49.4219902;23.7507916
Вінницька;Липовецький;Вінницький;Турбівська;с. Біла;22520;вул. Маяковського;49.8239355;30.4428716
Вінницька;Липовецький;Вінницький;Турбівська;с. Біла;22520;вул. Гагаріна;49.7903459;30.1152486
Вінницька;Липовецький;Вінницький;Турбівська;с. Біла;22520;вул. Шевченка;49.7349889;29.6840571
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;вул. Гетьмана Сагайдачного;49.2105567;28.4962641
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;вул. Костя Широцького;49.2179916;28.4961883
Вінницька;Липовецький;Вінницький;Турбівська;с. Біла;22520;вул. Хмельницького Богдана;49.3981274;28.9251284
Вінницька;Липовецький;Вінницький;Липовецька;с. Зозівка;22521;вул. Шевченка;49.3423699;28.9663446
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;пров. Привокзальний;49.2199826;28.5025451
Вінницька;Липовецький;Вінницький;Липовецька;с. Зозівка;22521;вул. Степова;49.3439637;28.972975
Вінницька;Липовецький;Вінницький;Липовецька;с. Зозівка;22521;вул. Молодіжна;49.3350259;28.9835034
Вінницька;Липовецький;Вінницький;Липовецька;с. Зозівка;22521;вул. Зелена;49.3382165;28.9730179
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;вул. Ярослава Нєменца;49.2320162;28.467975
Вінницька;Липовецький;Вінницький;Липовецька;с. Зозівка;22521;вул. Зарічна;49.3392312;28.9686781
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;пров. Ярослава Нєменца;49.2320162;28.467975
Вінницька;Липовецький;Вінницький;Липовецька;с. Зозівка;22521;вул. Докучаєва;49.3393116;28.985281
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;вул. Ясна;49.2233411;28.5029685
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;пров. Ясний;49.2259066;28.5001033
Вінницька;Липовецький;Вінницький;Липовецька;с. Зозівка;22521;вул. Пирогова;49.3308283;28.976702
Вінницька;Липовецький;Вінницький;Липовецька;с. Зозівка;22521;вул. Сонячна;49.3383086;28.9672411
Вінницька;Липовецький;Вінницький;Липовецька;с. Зозівка;22521;вул. Гагаріна;49.3303296;28.9776554
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;вул. Сірка Івана;49.2118694;28.4937368
Вінницька;Липовецький;Вінницький;Липовецька;с. Вербівка;22522;вул. Шевченка;51.3957781;32.800199
Вінницька;Липовецький;Вінницький;Липовецька;с. Вербівка;22522;вул. Лермонтова;49.486542;36.836472
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;пров. Гетьмана Сагайдачного;49.2089533;28.4935149
Вінницька;Липовецький;Вінницький;Липовецька;с. Вербівка;22522;вул. Центральна;48.9577575;29.3302934
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;вул. Шкільна;49.2078138;28.5015571
Вінницька;Липовецький;Вінницький;Липовецька;с. Вербівка;22522;вул. Хмельницького Богдана;49.486542;36.836472
Вінницька;Липовецький;Вінницький;Липовецька;с. Вербівка;22522;вул. Садова;51.1089077;28.0625266
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;пров. Шкільний;49.2085495;28.4998975
Вінницька;Липовецький;Вінницький;Турбівська;с. Брицьке;22523;вул. Шевченка;49.114475;7.1788612
Вінницька;Липовецький;Вінницький;Турбівська;с. Брицьке;22523;вул. Першотравнева;49.114475;7.1788612
Вінницька;Липовецький;Вінницький;Турбівська;с. Брицьке;22523;вул. Перемоги;49.114475;7.1788612
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;пров. Братів Котенків;49.2138306;28.4977212
Вінницька;Липовецький;Вінницький;Турбівська;с. Брицьке;22523;вул. Івана Богуна;49.114475;7.1788612
Вінницька;Липовецький;Вінницький;Турбівська;с. Брицьке;22523;вул. Зелена;49.114475;7.1788612
Вінницька;Липовецький;Вінницький;Турбівська;с. Брицьке;22523;вул. Молодіжна;49.114475;7.1788612
Вінницька;;Вінницький;Вінницька;м. Вінниця;21012;пров. 2-й Новоселівський;49.2131119;28.5061074
Вінницька;Липовецький;Вінницький;Турбівська;с. Брицьке;22523;вул. Садова;49.114475;7.1788612
Вінницька;Липовецький;Вінницький;Турбівська;с. Брицьке;22523;вул. Партизанська;49.114475;7.1788612
Вінницька;Липовецький;Вінницький;Турбівська;с. Брицьке;22523;вул. Зарічна;49.114475;7.1788612
Вінницька;;Вінницький;Вінницька;м. Вінниця;21015;вул. Липовецька;49.2593539;28.5168003
Вінницька;;Вінницький;Вінницька;м. Вінниця;21022;вул. Липовецька;49.2593539;28.5168003
Вінницька;;Вінницький;Вінницька;м. Вінниця;21017;вул. Липовецька;49.2593539;28.5168003
Вінницька;Могилів-Подільський;Могилів-Подільський;Вендичанська;с. Кричанівка;24034;вул. Порика;48.588737;27.852503
Вінницька;;Вінницький;Вінницька;м. Вінниця;21017;вул. Полубуткіна;49.2581709;28.5205035
Вінницька;;Вінницький;Вінницька;м. Вінниця;21017;пров. 1-й Полубуткіна;49.2320162;28.467975
Вінницька;;Вінницький;Вінницька;м. Вінниця;21017;вул. Марка Вовчка;49.2320162;28.467975
Вінницька;;Вінницький;Вінницька;м. Вінниця;21017;бульв. Марка Вовчка;49.2320162;28.467975
Вінницька;;Вінницький;Вінницька;м. Вінниця;21017;вул. Івана Світличного;49.2609059;28.5228951
Вінницька;;Вінницький;Вінницька;м. Вінниця;21017;бульв. Івана Світличного;49.2598;28.5234459
Вінницька;;Вінницький;Вінницька;м. Вінниця;21017;вул. Олексія Зінов'єва;49.2621086;28.5236495
Вінницька;;Вінницький;Вінницька;м. Вінниця;21017;вул. Гуцала Євгена;49.2604851;28.5254636
Вінницька;;Вінницький;Вінницька;м. Вінниця;21017;пров. Гуцала Євгена;49.2627623;28.5239733
Вінницька;;Вінницький;Вінницька;м. Вінниця;21017;вул. Надії Суровцової;49.2594592;28.5221259
Вінницька;;Вінницький;Вінницька;м. Вінниця;21022;вул. Гонти;49.2633294;28.5400603
Вінницька;;Вінницький;Вінницька;м. Вінниця;21017;вул. Гонти;49.2633294;28.5400603
Вінницька;;Вінницький;Вінницька;м. Вінниця;21011;вул. Гонти;49.2633294;28.5400603
Вінницька;;Вінницький;Вінницька;м. Вінниця;21017;вул. Дружня;49.2652921;28.5372941
Вінницька;;Вінницький;Вінницька;м. Вінниця;21017;вул. Черешнева;49.2663239;28.53812
Вінницька;Липовецький;Вінницький;Турбівська;с. Брицьке;22523;вул. Гагаріна;49.114475;7.1788612
Вінницька;Могилів-Подільський;Могилів-Подільський;Вендичанська;с. Кричанівка;24034;пров. Жовтневий;48.588737;27.852503
Вінницька;;Вінницький;Вінницька;м. Вінниця;21017;вул. Кобзаря;49.2547109;28.5154889
Вінницька;;Вінницький;Вінницька;м. Вінниця;21017;вул. Яреми;49.2570451;28.5209599
Вінницька;;Вінницький;Вінницька;м. Вінниця;21017;вул. Продольна;49.2570137;28.5231619
Вінницька;;Вінницький;Вінницька;м. Вінниця;21017;пров. Продольний;49.25767;28.5219419
Вінницька;;Вінницький;Вінницька;м. Вінниця;21017;вул. Коротка;49.2550161;28.518105
Вінницька;;Вінницький;Вінницька;м. Вінниця;21017;пров. Короткий;49.2561876;28.5183019
Вінницька;;Вінницький;Вінницька;м. Вінниця;21017;вул. Ушинського;49.25795;28.5102736
Вінницька;Липовецький;Вінницький;Турбівська;с. Вахнівка;22524;вул. Шевченка;49.3235033;28.8391757
Вінницька;;Вінницький;Вінницька;м. Вінниця;21017;вул. Гайдамацька;49.2573;28.5098909
Вінницька;;Вінницький;Вінницька;м. Вінниця;21017;пров. 1-й Гайдамацький;49.2570221;28.5050617
Вінницька;;Вінницький;Вінницька;м. Вінниця;21017;пров. Гайдамацький;49.2570221;28.5050617
Вінницька;;Вінницький;Вінницька;м. Вінниця;21017;вул. Кальницька;49.2582894;28.5133912
Вінницька;;Вінницький;Вінницька;м. Вінниця;21017;вул. Чернігівська;49.2600095;28.515485
